num_cands,num_voters,num_profiles,pm,vm,avg_cw_rank,avg_perc_cw_rank,perc_cw_rank_first,avg_cl_rank,avg_perc_cl_rank,perc_cl_rank_last,avg_num_ranks,perc_linear_rank
3,"(1000, 1001)",50000,IC,Plurality Ranking,1.244647432327058,41.48824774423526,0.7662470758605324,2.707665878363304,90.25552927877679,0.7524876176877426,2.95546,0.95546
3,"(1000, 1001)",50000,IC,Borda Ranking,1.078066169098808,35.93553896996026,0.9127770970257324,2.8877560126723485,96.25853375574495,0.8972156530275311,2.97416,0.97448
3,"(1000, 1001)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.7020882602293517,90.06960867431172,0.715898442729017,2.95082,0.95114
3,"(5000, 5001)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.9998258787680925,99.99419595893642,1.0,2.99048,0.99054
3,"(5000, 5001)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.99362280988138,99.787426996046,1.0,2.8469,0.91758
3,"(5000, 5001)",50000,IC,Plurality Ranking,1.269076742262656,42.30255807542187,0.7539720541505245,2.712417020350419,90.41390067834729,0.7598650560452715,2.9792,0.97932
3,"(5000, 5001)",50000,IC,Borda Ranking,1.0899534235842074,36.33178078614024,0.9049536412310103,2.8962237457830016,96.54079152610005,0.9014909130482098,2.98866,0.98872
3,"(5000, 5001)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.7174883012297313,90.58294337432437,0.7238654913483513,2.97736,0.97742
4,"(4, 5)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.806042686242523,95.15106715606308,1.0,3.39242,0.54194
4,"(4, 5)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.7306280587275693,93.26570146818923,1.0,3.4016,0.59458
4,"(4, 5)",50000,IC,Plurality Ranking,1.0861742424242424,27.154356060606062,0.6941287878787878,2.5148858075040783,62.87214518760196,0.3700720500271887,2.69264,0.0
4,"(4, 5)",50000,IC,Borda Ranking,1.030167748917749,25.75419372294372,0.8814935064935064,3.539525557368135,88.48813893420338,0.8817292006525286,3.42442,0.52524
4,"(4, 5)",50000,IC,Minimax Ranking,1.0,25.0,1.0,2.63876427406199,65.96910685154975,0.4033442088091354,2.5874,0.05598
4,"(10, 11)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.905520756570867,97.63801891427168,1.0,3.6572,0.70264
4,"(10, 11)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.7422009334315893,93.55502333578973,1.0,3.48084,0.64438
4,"(10, 11)",50000,IC,Plurality Ranking,1.1644551791610616,29.11137947902654,0.6798642533936652,2.854550478997789,71.36376197494474,0.46042127241464015,3.10196,0.32698
4,"(10, 11)",50000,IC,Borda Ranking,1.0496820349761526,26.242050874403816,0.8864803717744895,3.6439756816507,91.0993920412675,0.8835973962171456,3.61592,0.6583
4,"(10, 11)",50000,IC,Minimax Ranking,1.0,25.0,1.0,2.923391058707934,73.08477646769835,0.4886391549987718,3.00846,0.2185
4,"(20, 21)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.94589913103727,98.64747827593175,1.0,3.78316,0.80126
4,"(20, 21)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.763301480989636,94.0825370247409,1.0,3.5153,0.67296
4,"(20, 21)",50000,IC,Plurality Ranking,1.233814374646293,30.84535936615733,0.6490945104697227,3.0073905135829557,75.18476283957389,0.5178555962931956,3.31836,0.40938
4,"(20, 21)",50000,IC,Borda Ranking,1.0638653084323713,26.59663271080928,0.8902093944538766,3.7138196830162533,92.84549207540634,0.8818383902537602,3.72814,0.74996
4,"(20, 21)",50000,IC,Minimax Ranking,1.0,25.0,1.0,3.0967117988394586,77.41779497098646,0.541990242212535,3.26232,0.37674
4,"(50, 51)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.9770180129088013,99.42545032272002,1.0,3.87968,0.88538
4,"(50, 51)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.744281509087472,93.60703772718679,1.0,3.49284,0.67844
4,"(50, 51)",50000,IC,Plurality Ranking,1.34517947034362,33.6294867585905,0.6340282337491793,3.1971427799832566,79.92856949958141,0.5842717869777742,3.55946,0.60644
4,"(50, 51)",50000,IC,Borda Ranking,1.0852210549354344,27.130526373385862,0.8821131538629897,3.7683707364498096,94.20926841124523,0.8816333144292311,3.81814,0.82766
4,"(50, 51)",50000,IC,Minimax Ranking,1.0,25.0,1.0,3.2581220124767074,81.45305031191769,0.5899160117745551,3.49888,0.55226
4,"(500, 501)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.9979252062142603,99.94813015535651,1.0,3.9682,0.96878
4,"(500, 501)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.799605283133445,94.99013207833612,1.0,3.5054,0.7247
4,"(500, 501)",50000,IC,Plurality Ranking,1.451392001593705,36.28480003984262,0.6285671597191095,3.4097970750468094,85.24492687617024,0.6246394413238197,3.85034,0.85456
4,"(500, 501)",50000,IC,Borda Ranking,1.1135265700483092,27.83816425120773,0.8771353155037601,3.833004402611204,95.8251100652801,0.8701988765750721,3.9428,0.94368
4,"(500, 501)",50000,IC,Minimax Ranking,1.0,25.0,1.0,3.4454481048529932,86.13620262132483,0.6131521684125297,3.83406,0.8393
