num_cands,pm,sv_faster_avg_running_time,sc_faster_avg_running_time,bp_faster_avg_running_time,simple_sv_faster_avg_running_time,max_sv_faster_running_time,max_sc_faster_running_time,max_bp_faster_running_time,max_simple_sv_faster_running_time,mad_sv_faster_running_time,mad_sc_faster_running_time,mad_bp_faster_running_time,mad_simple_sv_faster_running_time,percent_cw
13,IC,0.02715994954109192,0.005378997230529785,0.005323778295516968,0.029188280391693116,0.7472460269927979,0.02171802520751953,0.018680334091186523,1.1196238994598389,0.026699492562294005,0.0007731308555603027,0.0008359954460334777,0.03649154153038025,0.4422
14,IC,0.055663961696624756,0.00655671591758728,0.006465530109405517,0.0707578637599945,4.077816486358643,0.012439250946044922,0.012387752532958984,2.713397979736328,0.058543801166267395,0.001025153062877655,0.001093345749053955,0.08720203230648041,0.3544
15,IC,0.06977518730163575,0.007785876607894897,0.007710366582870483,0.0969962085723877,3.562657594680786,0.024476289749145508,0.025985002517700195,5.100227117538452,0.07881752136367798,0.00131796113489151,0.0014136740792274475,0.12697294294113157,0.409
16,IC,0.10521476078033447,0.00908596158027649,0.008928966331481934,0.1671700782775879,7.505632162094116,0.028837919235229492,0.029948949813842773,6.571563482284546,0.12145106439628599,0.0015195504117012021,0.001576646036453247,0.21535703903808598,0.377
17,IC,0.15978133177757264,0.010740510988235474,0.010567454719543456,0.2857282012939453,13.033296346664429,0.021078109741210938,0.020368099212646484,9.926376104354858,0.19338348443422318,0.001784990783252716,0.0018614803658294678,0.37599381456604003,0.3396
18,IC,0.2235054100036621,0.012445815467834473,0.012213052940368653,0.536370894908905,14.118974447250366,0.03324413299560547,0.03319549560546875,30.197513103485107,0.2637509689050293,0.002042866205444336,0.002114545380706787,0.697799919508934,0.3052
19,IC,0.40884751558303833,0.01459146671295166,0.014363905334472656,1.054965191602707,28.19101119041443,0.03531813621520996,0.049302101135253906,93.68749690055847,0.535244702548027,0.002506551559371948,0.0025988883618164064,1.451908858039093,0.3136
20,IC,0.5148836566925049,0.016360001182556153,0.016073027849197386,1.4727580971240997,48.23910641670227,0.0324094295501709,0.03326249122619629,131.13107681274414,0.6815076680984498,0.002671443145828247,0.002750778325557709,2.0154180519275093,0.312
21,IC,1.124686846256256,0.01824186930656433,0.017888152742385866,3.6045146393299103,119.49490237236023,0.056198835372924805,0.053009986877441406,169.04074811935425,1.5963868772470473,0.002995027840881348,0.0030701541495513915,5.05381194850731,0.2648
22,IC,1.33606440076828,0.021651929759979247,0.021237681579589843,,137.30621218681335,0.058675527572631836,0.054619789123535156,,1.8851263542773813,0.003737046289100647,0.0038083265452575686,,0.2702
23,IC,1.8807009909629822,0.02415313105583191,0.023658662605285645,,202.84637665748596,0.053551673889160156,0.04379558563232422,,2.6332196921134186,0.004345428637313843,0.004427285256271362,,0.2586
24,IC,2.7511665135383607,0.02714564185142517,0.026634886741638185,,337.19768047332764,0.046524763107299805,0.04677557945251465,,4.0209788247370915,0.00486573763332367,0.004964261547851562,,0.2848
25,IC,4.339139539146423,0.030106560039520263,0.02953476104736328,,639.7430756092072,0.057958364486694336,0.0847313404083252,,6.469903415567779,0.005353950515480041,0.0054624244715881344,,0.2544
3,MALLOWS-RELPHI-R,1.1170578002929688e-05,8.884739875793458e-05,8.152823448181153e-05,8.895683288574219e-06,0.00029277801513671875,0.003738880157470703,0.00018787384033203125,0.0001277923583984375,3.377233276367188e-06,6.295364856719967e-06,6.2719360351562475e-06,2.5537940979003906e-06,0.9966
4,MALLOWS-RELPHI-R,1.7257022857666017e-05,0.00017867360115051269,0.00018277902603149415,1.360173225402832e-05,0.0006961822509765625,0.0003159046173095703,0.0007026195526123047,0.0003991127014160156,7.61791446685791e-06,1.1510014076232916e-05,1.2502268409729001e-05,5.1368823432922364e-06,0.9944
5,MALLOWS-RELPHI-R,2.8858327865600585e-05,0.00036978158950805664,0.0003831892967224121,2.0418071746826172e-05,0.0016973018646240234,0.0005085468292236328,0.0004980564117431641,0.0009672641754150391,1.646679208755493e-05,3.536163833618164e-05,3.114967605590821e-05,8.967179183959961e-06,0.9928
6,MALLOWS-RELPHI-R,4.779891967773438e-05,0.0006420516967773438,0.0006203694343566895,3.005375862121582e-05,0.003460407257080078,0.001256704330444336,0.0011382102966308594,0.0019123554229736328,3.916748825073243e-05,5.926258850097656e-05,4.014952278137206e-05,1.6903343906402587e-05,0.9892
7,MALLOWS-RELPHI-R,8.497238159179687e-05,0.0009914464473724366,0.000991394329071045,5.053658485412598e-05,0.011648416519165039,0.01614522933959961,0.0015292167663574219,0.009682655334472656,9.543546676635743e-05,7.995015604019158e-05,7.39158703231811e-05,4.0903115444183345e-05,0.9864
8,MALLOWS-RELPHI-R,0.0001397878646850586,0.0014519854545593262,0.0014976536273956299,7.525043487548828e-05,0.03805804252624512,0.017547130584716797,0.01762104034423828,0.020193815231323242,0.00018444292282104494,0.00013100159423828125,0.00014257951593399048,7.385069656372069e-05,0.9816
9,MALLOWS-RELPHI-R,0.00019827337265014648,0.0020667823791503904,0.0021460115909576415,0.00010762348175048828,0.019469022750854492,0.0031986236572265625,0.007616519927978516,0.02160811424255371,0.00027982762886047364,0.00016774352828979508,0.00018329666852951056,0.00012122381645202636,0.9804
10,MALLOWS-RELPHI-R,0.000261452054977417,0.002851569652557373,0.002979511737823486,0.00012867045402526855,0.04037952423095703,0.006890535354614258,0.004502773284912109,0.025003910064697266,0.00038201307933807377,0.00021149322032928462,0.00023099092102050794,0.00014296496963500974,0.9844
11,MALLOWS-RELPHI-R,0.00046895279884338377,0.0037716403007507326,0.0039541711807250975,0.0002640047073364258,0.088531494140625,0.00808572769165039,0.020169973373413086,0.09759354591369629,0.0007654585158348084,0.0003659702140808104,0.0004002502700805666,0.00038873584938049316,0.979
12,MALLOWS-RELPHI-R,0.0006456103801727295,0.004965699338912964,0.005208004713058472,0.0003474376678466797,0.12016630172729492,0.007456064224243164,0.007699728012084961,0.09968280792236328,0.0010861258675193789,0.0004377872316932676,0.00047421170330047574,0.0005305501237487794,0.9786
13,MALLOWS-RELPHI-R,0.0010854454040527344,0.006359015560150147,0.00666216082572937,0.0008297681331634521,0.2137892246246338,0.009657621383666992,0.009955883026123047,0.31106114387512207,0.0019028048683166507,0.0005398413395309446,0.0005932269291305545,0.0014376143102264405,0.9704
14,MALLOWS-RELPHI-R,0.0016345494270324707,0.008003372669219971,0.008357594680786134,0.0011238237380981446,0.4631316661834717,0.02834773063659668,0.02518773078918457,0.9274585247039795,0.002945526942710876,0.0007726244852066038,0.0008422439657592768,0.001987031284866333,0.9718
15,MALLOWS-RELPHI-R,0.0020633141994476317,0.00988100881576538,0.01032758207321167,0.001715380573272705,0.678891658782959,0.014929056167602539,0.015434741973876953,0.6854844093322754,0.0037481753462791437,0.0009735708283615114,0.0010587198840332035,0.003111175757255554,0.9716
16,MALLOWS-RELPHI-R,0.0030332430839538575,0.01210876350402832,0.012629910898208618,0.003178224182128906,0.6853756904602051,0.01801013946533203,0.019406557083129883,3.244133234024048,0.005581895547370911,0.0010855992286682126,0.0011925201234054567,0.005905317597198487,0.9686
17,MALLOWS-RELPHI-R,0.004319518709182739,0.014699417114257813,0.015270035839080811,0.004485041093826294,1.3787767887115479,0.030848979949951172,0.0278012752532959,2.8208444118499756,0.008011653882942199,0.001327535563659668,0.0014419528389358516,0.008379778372344972,0.9652
18,MALLOWS-RELPHI-R,0.006414686298370362,0.017592521953582765,0.018264251184463502,0.005812300109863281,3.777179479598999,0.025648832321166992,0.026964664459228516,4.568521738052368,0.012054878538589477,0.0016206878826141356,0.0017446846398544305,0.010942188831329346,0.9684
19,MALLOWS-RELPHI-R,0.01003316855430603,0.02096053009033203,0.021721621417999267,0.013285278415679933,5.843606472015381,0.03046274185180664,0.031563520431518555,11.310514450073242,0.01896469977703094,0.0016944911264038087,0.0018196032386779784,0.02536395659553528,0.9652
20,MALLOWS-RELPHI-R,0.007713495540618897,0.02444000406265259,0.02526721272468567,0.010853853702545166,3.4590556621551514,0.03625154495239258,0.037726640701293945,4.982689619064331,0.014468897847824099,0.0021900023788070677,0.0023432250986671448,0.02061600100517273,0.9668
21,MALLOWS-RELPHI-R,0.013729077100753785,0.02876140365600586,0.02962964696884155,0.03304716205596924,5.913930177688599,0.06396222114562988,0.06591939926147461,50.99779963493347,0.025885055470085145,0.002788330822753907,0.0029433992309570315,0.06351582484245301,0.9604
22,MALLOWS-RELPHI-R,0.07292166838645935,0.03275749678611756,0.033729577827453616,,287.3046865463257,0.049190521240234375,0.0673067569732666,,0.13981162267694472,0.00348198286169052,0.003711838450012206,,0.9622
23,MALLOWS-RELPHI-R,0.031481977415084836,0.038083259534835816,0.03914988350868225,,17.986910104751587,0.05510401725769043,0.05677223205566406,,0.05930126657190324,0.003536908392162323,0.00377977897977829,,0.951
24,MALLOWS-RELPHI-R,0.034250786781311035,0.04327861561775208,0.04438210864067078,,25.14714503288269,0.06310653686523438,0.06516695022583008,,0.06466448642539979,0.004284887870693205,0.004610039764728546,,0.953
25,MALLOWS-RELPHI-R,0.06020699815750122,0.049706291389465335,0.05082066922187805,,95.69184684753418,0.07390046119689941,0.0744938850402832,,0.11435089449722288,0.004774046033096312,0.005203336109619141,,0.9552
