num_cands,pm,sv_avg_running_time,sv_faster_avg_running_time,simple_sv_avg_running_time,max_sv_running_time,max_simple_sv_running_time,max_sv_faster_running_time,mad_sv_running_time,mad_simple_sv_running_time,mad_sv_faster_running_time,percent_cw
9,URN-R,0.006464886426925660,0.001639115810394290,0.005404942989349370,0.0613093376159668,0.048108816146850600,0.053681373596191400,0.0012759101572036700,0.005084696724653250,0.0025349587321281400,0.7945
10,URN-R,0.010478222489357000,0.0031144089698791500,0.01217580783367160,0.10431408882141100,0.16237831115722700,0.07603168487548830,0.00207175547170639,0.01051970788860320,0.004683170770645140,0.766
11,URN-R,0.015200156927108800,0.004510152339935300,0.024159444093704200,0.3167407512664800,0.38060998916626000,0.2548227310180660,0.0035056862049102800,0.020835819730520200,0.006878917598724370,0.774
12,URN-R,0.021267807841301000,0.006532268643379210,0.05489954829216000,0.7208056449890140,0.9099228382110600,0.3935091495513920,0.005097887711763380,0.04781158191120630,0.009783699483394630,0.758
13,URN-R,0.02993733501434330,0.010225727558136000,0.10996546339988700,0.9808268547058110,1.755077600479130,0.5024051666259770,0.0088465980014801,0.09767565766334530,0.015259800503253900,0.7525
14,URN-R,0.04432187473773960,0.018147179245948800,0.23115293681621600,2.918117046356200,3.825759172439580,2.1403043270111100,0.021182306515574500,0.21103942605304700,0.026477577658891700,0.7315
15,URN-R,0.05872853779792790,0.0258611820936203,0.5483122814893720,2.4612982273101800,9.541130065917970,2.4969756603241000,0.02898407275080680,0.5182940073344710,0.03770903127145770,0.73
16,URN-R,0.08631696403026580,0.04627039182186130,1.0924510728120800,5.285348653793340,20.855273246765100,3.8390262126922600,0.05707817104458810,1.0455189373076000,0.06560065753662590,0.7005
17,URN-R,0.12936856949329400,0.07293552923202520,2.21698729634285,17.48206901550290,51.77642059326170,12.495654582977300,0.10895811699438100,2.1465204135633700,0.10554696161985400,0.6935
18,URN-R,0.18411361753940600,0.11597089123725900,5.161217369437220,28.198615789413500,106.76909351348900,20.441012144088700,0.17758643601715600,5.052683077772860,0.177600965059042,0.7025
19,URN-R,0.2430532969236370,0.16046882128715500,9.460609072566030,29.344823837280300,202.44409251213100,29.159200429916400,0.24967095998621000,9.309893512819170,0.25179966341638600,0.703
20,URN-R,0.47137439727783200,0.3419137103557590,24.307325170993800,110.45347857475300,715.8928227424620,57.22359347343450,0.6257962021923070,24.03327075115200,0.5710176579494480,0.695
21,URN-R,0.5336101523637770,0.3697450855970380,50.1615056283474,203.00601172447200,1658.9568467140200,97.98863387107850,0.6972173202872280,49.84170219221870,0.6115162089623210,0.692
22,URN-R,0.4337774164676670,0.2519255734682080,,39.88902974128720,,37.794047594070400,0.43217330943608300,,0.38291662346053100,0.6955
