num_cands,pm,sv_avg_running_time,sv_faster_avg_running_time,percent_cw
21,URN-R,40.321704793810845,6.909137307524681,0.6885
22,URN-R,83.30405164813996,14.37682318532467,0.663
3,MALLOWS-R,4.9719929695129397e-05,8.914470672607422e-06,0.9935
4,MALLOWS-R,8.578455448150635e-05,1.2929201126098633e-05,0.9925
5,MALLOWS-R,0.00015432429313659668,2.1535873413085938e-05,0.9875
6,MALLOWS-R,0.00025524079799652097,2.9386878013610838e-05,0.9875
7,MALLOWS-R,0.00046095371246337893,5.427694320678711e-05,0.984
8,MALLOWS-R,0.0007680039405822754,6.498730182647705e-05,0.982
9,MALLOWS-R,0.001373720407485962,0.00013072359561920165,0.9775
10,MALLOWS-R,0.0025140827894210814,0.00020481514930725098,0.977
11,MALLOWS-R,0.005114712595939637,0.00025779128074646,0.98
12,MALLOWS-R,0.010980193614959716,0.00047123444080352786,0.977
13,MALLOWS-R,0.019899603724479676,0.0004910185337066651,0.9805
14,MALLOWS-R,0.04849822342395783,0.0013462220430374146,0.976
15,MALLOWS-R,0.09466585063934327,0.000971836805343628,0.9825
16,MALLOWS-R,0.2073843387365341,0.0016929930448532104,0.983
17,MALLOWS-R,0.46866741335392,0.006641832232475281,0.9755
18,MALLOWS-R,1.137135044813156,0.0023632185459136965,0.975
19,MALLOWS-R,2.338566474318504,0.011535709738731385,0.978
20,MALLOWS-R,4.449701025247574,0.015893412351608276,0.975
21,MALLOWS-R,9.998349662423134,0.011516060590744018,0.9815
22,MALLOWS-R,21.216679316163063,0.02687825047969818,0.972
3,MALLOWS-RELPHI-R,5.027437210083008e-05,9.26506519317627e-06,0.991
4,MALLOWS-RELPHI-R,8.17723274230957e-05,1.2616634368896484e-05,0.9905
5,MALLOWS-RELPHI-R,0.00014572715759277345,1.9652128219604494e-05,0.9895
6,MALLOWS-RELPHI-R,0.00026004862785339354,3.390157222747803e-05,0.984
7,MALLOWS-RELPHI-R,0.0004529857635498047,5.546903610229492e-05,0.9785
8,MALLOWS-RELPHI-R,0.0007410966157913208,8.717763423919677e-05,0.975
9,MALLOWS-RELPHI-R,0.0011508995294570923,0.00012305819988250733,0.972
10,MALLOWS-RELPHI-R,0.001825330376625061,0.00019294679164886475,0.9695
11,MALLOWS-RELPHI-R,0.0029272180795669555,0.0002464195489883423,0.974
12,MALLOWS-RELPHI-R,0.006066250443458557,0.0004971804618835449,0.968
13,MALLOWS-RELPHI-R,0.009386888980865479,0.0010175855159759522,0.952
14,MALLOWS-RELPHI-R,0.016298178672790528,0.0011916855573654175,0.958
15,MALLOWS-RELPHI-R,0.038894386529922484,0.002544437646865845,0.956
16,MALLOWS-RELPHI-R,0.07336113607883453,0.005182964563369751,0.9505
17,MALLOWS-RELPHI-R,0.13195750367641448,0.004382290005683899,0.955
18,MALLOWS-RELPHI-R,0.19602660179138184,0.011123874306678772,0.9405
19,MALLOWS-RELPHI-R,0.47031137001514434,0.031120079874992372,0.945
20,MALLOWS-RELPHI-R,0.7705042027235031,0.025966821670532228,0.9465
21,MALLOWS-RELPHI-R,1.6809514402151107,0.038566261649131774,0.944
22,MALLOWS-RELPHI-R,3.365345485448837,0.1554663165807724,0.9325
3,SinglePeaked,3.89862060546875e-05,6.891489028930664e-06,1.0
4,SinglePeaked,9.255123138427734e-05,1.1788010597229005e-05,0.9795
5,SinglePeaked,0.00019436931610107423,1.3730764389038086e-05,1.0
6,SinglePeaked,0.00038320791721343996,2.6886820793151856e-05,0.9815
7,SinglePeaked,0.0007326580286026001,2.6261448860168457e-05,1.0
8,SinglePeaked,0.0013687230348587037,5.493414402008057e-05,0.984
9,SinglePeaked,0.00232548463344574,3.9868831634521486e-05,1.0
10,SinglePeaked,0.004660617232322693,0.000131134033203125,0.982
11,SinglePeaked,0.008491060256958009,6.42913579940796e-05,1.0
12,SinglePeaked,0.012280454039573669,0.0003266315460205078,0.98
13,SinglePeaked,0.018613177180290222,8.753252029418945e-05,1.0
14,SinglePeaked,0.026063714385032653,0.0005285253524780273,0.984
15,SinglePeaked,0.03882732582092285,0.00011412525177001953,1.0
16,SinglePeaked,0.05655009853839874,0.001240084171295166,0.98
17,SinglePeaked,0.07956696081161499,0.00014373779296875,1.0
18,SinglePeaked,0.11696746623516083,0.00226883602142334,0.983
19,SinglePeaked,0.16642457211017608,0.00017719244956970214,1.0
20,SinglePeaked,0.23283404672145844,0.0042610993385314945,0.9815
21,SinglePeaked,0.34258127224445345,0.00021377551555633545,1.0
22,SinglePeaked,0.49122464430332186,0.00834183669090271,0.981
